Date,Plate,Sample,Species,Mass,Count,Pollen,Water ,Reading
9/7/2021,C6,J,Erigeron flagellaris,0.24,20,10,150,0.163
9/7/2021,D5,I,Eriogonum umbellatum,0.05,20,10,150,0.135
9/7/2021,E5,I,Eriogonum umbellatum,0.05,20,10,150,0.126
9/7/2021,F5,I,Eriogonum umbellatum,0.05,20,10,150,0.132
9/7/2021,H2,GG,Gaillardia aristata,0.31,4,10,150,0.16
9/7/2021,H3,GG,Gaillardia aristata,0.31,4,10,150,0.156
9/7/2021,H4,GG,Gaillardia aristata,0.31,4,10,150,0.164
9/7/2021,A7,M,Geranium caespitosum,0.23,12,10,150,0.179
9/7/2021,B7,M,Geranium caespitosum,0.23,12,10,150,0.152
9/7/2021,C7,M,Geranium caespitosum,0.23,12,10,150,0.148
9/7/2021,A9,T,Harbouria trachypleura,0.44,14,10,150,0.138
9/7/2021,B9,T,Harbouria trachypleura,0.44,14,10,150,0.138
9/7/2021,C9,T,Harbouria trachypleura,0.44,14,10,150,0.166
9/7/2021,H8,II,Heterotheca villosa,0.18,9,10,150,0.173
9/7/2021,H9,II,Heterotheca villosa,0.18,9,10,150,0.163
9/7/2021,H10,II,Heterotheca villosa,0.18,9,10,150,0.176
9/7/2021,A4,F,Leucocrinum montanum,0.21,8,10,150,0.146
9/7/2021,B4,F,Leucocrinum montanum,0.21,8,10,150,0.163
9/7/2021,C4,F,Leucocrinum montanum,0.21,8,10,150,0.183
9/7/2021,G8,FF,Mertensia lanceolata,0.16,27,10,150,0.17
9/7/2021,G9,FF,Mertensia lanceolata,0.16,27,10,150,0.175
9/7/2021,G10,FF,Mertensia lanceolata,0.16,27,10,150,0.147
9/7/2021,D11,Y,Packera fendleri,0.2,10,10,150,0.194
9/7/2021,E11,Y,Packera fendleri,0.2,10,10,150,0.146
9/7/2021,F11,Y,Packera fendleri,0.2,10,10,150,0.175
9/7/2021,A5,H,Penstemon virens,0.07,35,10,150,0.161
9/7/2021,B5,H,Penstemon virens,0.07,35,10,150,0.142
9/7/2021,C5,H,Penstemon virens,0.07,35,10,150,0.144
9/7/2021,D6,K,Penstemon virens,0.05,15,10,150,0.288
9/7/2021,E6,K,Penstemon virens,0.05,15,10,150,0.27
9/7/2021,F6,K,Penstemon virens,0.05,15,10,150,0.229
9/7/2021,D12,AA,Potentilla hippiana,0.02,30,5,155,0.194
9/7/2021,E12,AA,Potentilla hippiana,0.02,30,5,155,0.139
9/7/2021,F12,AA,Potentilla hippiana,0.02,30,5,155,0.188
9/7/2021,A2,A,Sedum lanceolatum,0.44,25,10,150,0.159
9/7/2021,B2,A,Sedum lanceolatum,0.44,25,10,150,0.179
9/7/2021,C2,A,Sedum lanceolatum,0.44,25,10,150,0.164
9/7/2021,D8,P,Senecio integerrimus,0.02,10,5,155,0.201
9/7/2021,E8,P,Senecio integerrimus,0.02,10,5,155,0.191
9/7/2021,F8,P,Senecio integerrimus,0.02,10,5,155,0.206
9/7/2021,G2,BB,Solidago multiradiata,0.65,30,10,150,0.17
9/7/2021,G3,BB,Solidago multiradiata,0.65,30,10,150,0.168
9/7/2021,G4,BB,Solidago multiradiata,0.65,30,10,150,0.154
9/7/2021,D2,C,Thermopsis montana,0.09,20,10,150,0.133
9/7/2021,E2,C,Thermopsis montana,0.09,20,10,150,0.138
9/7/2021,F2,C,Thermopsis montana,0.09,20,10,150,0.142
9/7/2021,D3,E,Thlaspi arvense,0.02,20,5,155,0.194
9/7/2021,E3,E,Thlaspi arvense,0.02,20,5,155,0.18
9/7/2021,F3,E,Thlaspi arvense,0.02,20,5,155,0.156
9/7/2021,D10,W,Veronica plantaginea,0.81,5,10,150,0.153
9/7/2021,E10,W,Veronica plantaginea,0.81,5,10,150,0.174
9/7/2021,F10,W,Veronica plantaginea,0.81,5,10,150,0.147
